year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2013,NYK,0.561,0.36,0.535,20.2,18.7,0.513,13.3,-0.2
2013,OKC,0.634,0.345,0.566,26.9,20.2,0.476,13.3,5.5
2013,ORL,0.195,0.295,0.506,16.7,23.0,0.502,11.6,-7.0
2013,PHI,0.268,0.355,0.503,17.3,21.0,0.504,13.0,-5.4
2013,PHO,0.195,0.326,0.518,19.5,23.5,0.524,12.6,-9.7
2013,POR,0.268,0.362,0.531,19.0,21.4,0.526,11.7,-6.7
2013,SAC,0.195,0.35,0.509,20.9,20.5,0.521,13.3,-9.5
2013,SAS,0.561,0.369,0.554,21.6,23.8,0.482,12.7,2.5
2013,TOR,0.317,0.338,0.535,22.1,21.2,0.506,12.4,-4.8
2013,UTA,0.317,0.351,0.516,22.2,22.0,0.52,14.3,-5.2
2013,WAS,0.171,0.339,0.492,19.3,20.8,0.486,13.0,-7.7
2014,ATL,0.341,0.365,0.556,20.5,24.3,0.525,13.6,-2.8
2014,BOS,0.22,0.338,0.511,21.3,20.1,0.517,13.6,-6.4
2014,BRK,0.39,0.347,0.536,23.8,20.2,0.519,14.2,-5.2
2014,CHA,0.439,0.359,0.523,24.1,21.0,0.502,12.3,-2.7
2014,CHI,0.512,0.355,0.521,23.6,21.3,0.485,13.3,-1.1
2014,CLE,0.341,0.353,0.522,22.4,18.9,0.537,13.1,-6.8
2014,DAL,0.561,0.383,0.553,18.5,23.9,0.506,14.2,1.0
2014,DEN,0.341,0.353,0.537,26.2,21.4,0.514,12.4,-5.2
2014,DET,0.293,0.335,0.51,25.3,19.7,0.525,13.5,-4.8
2014,GSW,0.585,0.379,0.547,22.2,22.4,0.484,12.9,2.2
2014,HOU,0.512,0.354,0.563,29.3,21.3,0.503,11.8,0.1
2014,IND,0.512,0.369,0.525,22.8,19.3,0.479,12.2,-1.6
2014,LAC,0.561,0.358,0.557,27.4,23.3,0.488,12.9,3.2
2014,LAL,0.317,0.385,0.534,22.8,23.0,0.516,12.0,-8.4
2014,MEM,0.561,0.341,0.516,19.0,22.1,0.494,13.3,0.5
2014,MIA,0.537,0.359,0.58,22.5,23.2,0.508,14.8,2.4
2014,MIL,0.122,0.356,0.522,22.9,21.5,0.523,12.8,-9.2
2014,MIN,0.39,0.348,0.532,27.5,23.7,0.534,14.2,-0.9
2014,NOP,0.293,0.362,0.53,23.1,20.9,0.525,13.6,-6.6
2014,NYK,0.439,0.368,0.533,19.4,20.7,0.512,12.1,-2.4
2014,OKC,0.61,0.345,0.557,24.4,20.5,0.49,12.9,3.4
2014,ORL,0.098,0.345,0.507,20.2,20.3,0.508,12.5,-9.9
2014,PHI,0.22,0.304,0.503,22.7,20.4,0.517,14.5,-10.9
2014,PHO,0.537,0.358,0.544,23.5,19.4,0.494,13.2,-0.2
2014,POR,0.561,0.379,0.542,24.2,22.6,0.492,10.1,1.6
2014,SAC,0.268,0.331,0.521,26.8,18.7,0.527,12.7,-5.3
2014,SAS,0.732,0.376,0.559,20.6,23.4,0.48,13.2,6.6
2014,TOR,0.537,0.369,0.538,23.7,20.6,0.487,13.4,1.8
2014,UTA,0.22,0.345,0.511,21.4,21.3,0.53,12.5,-10.6
2014,WAS,0.537,0.397,0.534,20.6,23.2,0.504,14.4,0.5
2015,ATL,0.61,0.38,0.552,21.5,24.4,0.495,14.6,2.4
2015,BOS,0.463,0.32,0.524,21.2,24.2,0.496,13.4,-1.3
2015,BRK,0.463,0.328,0.53,21.3,20.6,0.511,12.3,-3.5
2015,CHO,0.341,0.317,0.499,22.1,19.4,0.496,12.3,-4.7
2015,CHI,0.561,0.36,0.54,25.1,20.9,0.469,10.6,1.7
2015,CLE,0.537,0.347,0.548,24.2,20.1,0.517,12.3,1.5
2015,DAL,0.561,0.355,0.539,20.5,23.2,0.498,13.5,1.7
2015,DEN,0.268,0.312,0.508,22.1,21.3,0.514,12.6,-7.4
2015,DET,0.341,0.326,0.502,21.0,20.0,0.495,12.7,-2.3
2015,GSW,0.683,0.38,0.551,21.0,25.4,0.47,13.6,5.6
2015,HOU,0.634,0.341,0.549,25.8,22.1,0.497,13.5,1.3
2015,IND,0.366,0.343,0.52,21.9,21.4,0.489,11.7,-2.2
2015,LAC,0.634,0.381,0.567,24.1,23.4,0.507,12.7,5.1
2015,LAL,0.22,0.37,0.511,22.3,20.2,0.528,11.9,-8.5
2015,MEM,0.585,0.333,0.53,22.9,22.4,0.51,14.2,0.2
